Working hours retrieved | timezone=Africa/Nairobi

Working hours retrieved | timezone=Africa/Nairobi

Working hours created | day=2, start=19:58, end=21:00, tz=Africa/Nairobi

Working hours retrieved | timezone=Africa/Nairobi

Working hours retrieved | timezone=Africa/Nairobi

Working hours retrieved | timezone=Africa/Nairobi

Working hours retrieved | timezone=Africa/Nairobi

Working hours created | day=4, start=08:00, end=17:00, tz=Africa/Nairobi

Working hours retrieved | timezone=Africa/Nairobi

